Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
Beyond the Sea,Black and White,Biography,English,USA,PG-13,Kevin Spacey,Kevin Spacey,18000,23689,18000,0,6.7,113,118,6144806,23000000,-16855194,2004,1
Birth,Color,Drama,English,USA,R,Cameron Bright,Jonathan Glazer,829,2295,143,0,6.1,167,100,5005883,20000000,-14994117,2004,10
Blade: Trinity,Color,Action,English,USA,R,Ryan Reynolds,David S. Goyer,16000,19764,687,0,5.9,185,122,52397389,65000000,-12602611,2004,12
Bride & Prejudice,Color,Comedy,English,UK,PG-13,Indira Varma,Gurinder Chadha,729,2321,98,0,6.2,119,122,6601079,7000000,-398921,2004,5
Bridget Jones: The Edge of Reason,Color,Comedy,English,UK,R,Colin Firth,Beeban Kidron,14000,15634,17,0,5.9,143,108,40203020,40000000,203020,2004,5
Catch That Kid,Color,Comedy,English,USA,PG,Kristen Stewart,Bart Freundlich,17000,18711,38,591,5.2,54,91,16702864,18000000,-1297136,2004,10
Catwoman,Color,Action,English,USA,PG-13,Frances Conroy,Pitof,827,3144,26,0,3.3,212,87,40198710,100000000,-59801290,2004,10
Cellular,Color,Action,English,USA,PG-13,Richard Burgi,David R. Ellis,550,1102,160,2000,6.5,127,94,32003620,25000000,7003620,2004,4
Chasing Liberty,Color,Comedy,English,USA,PG-13,Annabella Sciorra,Andy Cadiff,448,842,3,0,6.1,65,101,12189514,23000000,-10810486,2004,7
Christmas with the Kranks,Color,Comedy,English,USA,PG,Jamie Lee Curtis,Joe Roth,2000,6729,148,0,5.2,105,99,73701902,60000000,13701902,2004,9
Clean,Color,Drama,French,France,R,Maggie Cheung,Olivier Assayas,576,776,107,171,6.9,81,110,136007,4500,131507,2004,10
Closer,Color,Drama,English,USA,R,Natalie Portman,Mike Nichols,20000,28027,0,12000,7.3,212,98,33987757,27000000,6987757,2004,10
Club Dread,Color,Comedy,English,USA,R,Brittany Daniel,Jay Chandrasekhar,861,3306,422,713,5.6,66,119,4992159,8550000,-3557841,2004,8
Collateral,Color,Crime,English,USA,R,Tom Cruise,Michael Mann,10000,13581,0,0,7.6,299,120,100003492,65000000,35003492,2004,11
Confessions of a Teenage Drama Queen,Color,Comedy,English,Germany,PG,Adam Garcia,Sara Sugarman,811,2167,10,810,4.6,74,89,29302097,15000000,14302097,2004,10
Connie and Carla,Color,Comedy,English,USA,PG-13,Debbie Reynolds,Michael Lembeck,786,2730,54,924,6.3,76,108,8054280,20000000,-11945720,2004,9
Crash,Color,Crime,English,Germany,R,Don Cheadle,Paul Haggis,3000,5732,549,18000,7.9,287,115,54557348,6500000,48057348,2004,6
D.E.B.S.,Color,Action,English,USA,PG-13,Jordana Brewster,Angela Robinson,4000,6380,23,1000,5.3,50,91,96793,3500000,-3403207,2004,10
Dawn of the Dead,Color,Action,English,USA,R,Ty Burrell,Zack Snyder,3000,10438,0,7000,7.4,287,110,58885635,26000000,32885635,2004,9
Dead Man's Shoes,Black and White,Crime,English,UK,Not Rated,Paddy Considine,Shane Meadows,680,1311,222,0,7.7,99,90,6013,695393,-689380,2004,8
Dear Wendy,Color,Comedy,English,Italy,Unrated,Michael Angarano,Thomas Vinterberg,947,2572,346,532,6.6,100,102,23106,50000000,-49976894,2004,1
De-Lovely,Black and White,Biography,English,USA,PG-13,Kevin McNally,Irwin Winkler,427,729,34,1000,6.6,119,125,13337299,20000000,-6662701,2004,6
District B13,Color,Action,French,France,R,David Belle,Pierre Morel,510,962,180,0,7.2,141,84,1197786,12000000,-10802214,2004,10
Dodgeball: A True Underdog Story,Black and White,Comedy,English,USA,PG-13,Gary Cole,Rawson Marshall Thurber,989,4730,43,0,6.7,191,92,114324072,20000000,94324072,2004,6
Downfall,Color,Biography,German,Germany,R,Thomas Kretschmann,Oliver Hirschbiegel,918,2334,101,14000,8.3,192,178,5501940,13500000,-7998060,2004,11
Ella Enchanted,Color,Comedy,English,USA,PG,Anne Hathaway,Tommy O'Haver,11000,17292,13,0,6.3,89,96,22913677,35000000,-12086323,2004,12
Envy,Color,Comedy,English,USA,PG-13,Amy Poehler,Barry Levinson,1000,1189,272,713,4.8,76,99,12181484,40000000,-27818516,2004,4
Eternal Sunshine of the Spotless Mind,Color,Drama,English,USA,R,Kate Winslet,Michel Gondry,14000,19364,1000,52000,8.3,273,108,34126138,20000000,14126138,2004,10
Eulogy,Color,Comedy,English,USA,R,Zooey Deschanel,Michael Clancy,11000,14656,0,376,6.7,27,85,70527,6500000,-6429473,2004,9
EuroTrip,Color,Comedy,English,USA,R,Matt Damon,Jeff Schaffer,13000,14180,17,0,6.6,92,93,17718223,25000000,-7281777,2004,9
Exorcist: The Beginning,Color,Horror,English,USA,R,James D'Arcy,Renny Harlin,613,1970,212,893,5.1,167,125,41814863,50000000,-8185137,2004,1
Fahrenheit 9/11,Color,Documentary,English,USA,R,Osama bin Laden,Michael Moore,503,1448,909,0,7.5,288,122,119078393,6000000,113078393,2004,9
Fascination,Color,Mystery,English,Germany,R,Adam Garcia,Klaus Menzel,811,1789,34,40,3.3,13,103,16066,5000000,-4983934,2004,3
Fat Albert,Color,Comedy,English,USA,PG,Dania Ramirez,Joel Zwick,1000,4604,38,531,4.3,59,93,48114556,26000000,22114556,2004,9
Fighting Tommy Riley,Color,Drama,English,USA,R,Don Wallace,Eddie O'Flaherty,54,185,3,30,6.6,13,109,5199,200000,-194801,2004,6
Finding Neverland,Color,Biography,English,USA,PG,Johnny Depp,Marc Forster,40000,58823,395,0,7.8,226,101,51676606,25000000,26676606,2004,9
Flight of the Phoenix,Color,Action,English,USA,PG-13,Dennis Quaid,John Moore,2000,4397,212,1000,6.1,114,113,21009180,45000000,-23990820,2004,1
Garden State,Color,Comedy,English,USA,R,Armando Riesco,Zach Braff,625,1655,0,0,7.6,205,102,26781723,2500000,24281723,2004,4
Garfield,Color,Animation,English,USA,PG,Bill Murray,Peter Hewitt,13000,13430,12,795,5.0,116,80,75367693,35000000,40367693,2004,6
Godsend,Color,Drama,English,USA,PG-13,Robert De Niro,Nick Hamm,22000,23352,6,387,4.8,130,102,14334645,25000000,-10665355,2004,6
Harold & Kumar Go to White Castle,Color,Adventure,English,USA,R,Ethan Embry,Danny Leiner,982,3114,8,0,7.1,150,88,18225165,9000000,9225165,2004,2
Harry Potter and the Prisoner of Azkaban,Color,Adventure,English,UK,PG,Daniel Radcliffe,Alfonso Cuarón,11000,33284,0,11000,7.8,274,142,249358727,130000000,119358727,2004,2
Hellboy,Color,Action,English,USA,PG-13,James Babson,Guillermo del Toro,366,1112,0,0,6.8,242,132,59035104,66000000,-6964896,2004,10
Hidalgo,Color,Action,English,USA,PG-13,J.K. Simmons,Joe Johnston,24000,36925,394,0,6.7,140,136,67286731,100000000,-32713269,2004,10
Home on the Range,Color,Animation,English,USA,PG,Steve Buscemi,Will Finn,12000,13607,6,304,5.4,104,76,50026353,110000000,-59973647,2004,1
Hotel Rwanda,Color,Drama,English,UK,PG-13,Don Cheadle,Terry George,3000,4142,83,12000,8.1,187,121,23472900,17500000,5972900,2004,10
House of D,Color,Comedy,English,USA,PG-13,Robin Williams,David Duchovny,49000,51441,0,857,7.0,46,96,371081,6000000,-5628919,2004,9
House of Flying Daggers,Color,Action,Mandarin,China,PG-13,Takeshi Kaneshiro,Yimou Zhang,755,1244,611,0,7.6,248,119,11041228,100000000,-88958772,2004,12
Howl's Moving Castle,Color,Adventure,Japanese,Japan,PG,Christian Bale,Hayao Miyazaki,23000,24263,6000,13000,8.2,212,119,4710455,24000000,-19289545,2004,3
I Heart Huckabees,Color,Comedy,English,USA,R,Naomi Watts,David O. Russell,6000,8094,737,0,6.7,183,107,12784713,22000000,-9215287,2004,12
"I, Robot",Color,Action,English,USA,PG-13,Will Smith,Alex Proyas,10000,12068,295,0,7.1,225,115,144795350,120000000,24795350,2004,12
Imaginary Heroes,Color,Comedy,English,USA,R,Kip Pardue,Dan Harris,374,768,24,345,7.3,73,111,228524,4000000,-3771476,2004,7
In Good Company,Color,Comedy,English,USA,PG-13,Scarlett Johansson,Paul Weitz,19000,28493,80,736,6.5,157,109,45489752,26000000,19489752,2004,9
Incident at Loch Ness,Color,Adventure,English,UK,PG-13,Zak Penn,Zak Penn,87,256,87,400,6.6,60,94,36830,1400000,-1363170,2004,8
Jersey Girl,Color,Comedy,English,USA,PG-13,Stephen Root,Kevin Smith,939,3592,0,0,6.2,164,102,25266129,35000000,-9733871,2004,8
Johnson Family Vacation,Color,Comedy,English,USA,PG-13,Vanessa Williams,Christopher Erskin,1000,5006,4,243,4.3,45,97,31179516,12000000,19179516,2004,7
Kill Bill: Vol. 2,Black and White,Action,English,USA,R,Vivica A. Fox,Quentin Tarantino,890,1959,16000,0,8.0,304,137,66207920,30000000,36207920,2004,6
Kinsey,Black and White,Biography,English,USA,R,Liam Neeson,Bill Condon,14000,17490,386,0,7.1,188,118,10214647,11000000,-785353,2004,6
Kung Fu Hustle,Color,Action,Cantonese,Hong Kong,R,Shengyi Huang,Stephen Chow,264,537,0,0,7.8,377,99,17104669,20000000,-2895331,2004,1
Ladder 49,Color,Action,English,USA,PG-13,Billy Burke,Jay Russell,2000,4496,13,0,6.5,125,115,74540762,55000000,19540762,2004,4
Laws of Attraction,Color,Comedy,English,Ireland,PG-13,Frances Fisher,Peter Howitt,638,961,29,702,5.9,90,90,17848322,28000000,-10151678,2004,6
Layer Cake,Color,Crime,English,UK,R,Tom Hardy,Matthew Vaughn,27000,29277,905,0,7.4,149,105,2338695,4000000,-1661305,2004,11
Little Black Book,Color,Comedy,English,USA,PG-13,Holly Hunter,Nick Hurran,1000,4369,34,484,5.2,73,105,20422207,35000000,-14577793,2004,12
Man on Fire,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000,20454,12000,14000,7.7,171,146,77862546,70000000,7862546,2004,4
Maria Full of Grace,Color,Crime,Spanish,Colombia,R,Catalina Sandino Moreno,Joshua Marston,280,308,13,0,7.5,155,101,6517198,3000000,3517198,2004,8
Mean Creek,Color,Crime,English,USA,R,Rory Culkin,Jacob Aaron Estes,710,2655,9,1000,7.3,126,90,603943,500000,103943,2004,9
Mean Girls,Color,Comedy,English,USA,PG-13,Tina Fey,Mark Waters,2000,5032,70,0,7.0,159,97,86049418,17000000,69049418,2004,4
Meet the Fockers,Color,Comedy,English,USA,PG-13,Robert De Niro,Jay Roach,22000,24938,116,0,6.3,141,106,279167575,80000000,199167575,2004,10
Million Dollar Baby,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000,28830,16000,14000,8.1,268,132,100422786,30000000,70422786,2004,8
Mindhunters,Color,Crime,English,USA,R,LL Cool J,Renny Harlin,1000,4186,212,2000,6.4,127,101,4476235,27000000,-22523765,2004,1
Miracle,Color,Biography,English,USA,PG,Eddie Cahill,Gavin O'Connor,639,1845,149,0,7.5,129,135,64371181,28000000,36371181,2004,10
Mr 3000,Color,Comedy,English,USA,PG-13,Bernie Mac,Charles Stone III,1000,4462,30,491,5.5,63,104,21800302,30000000,-8199698,2004,8
My Date with Drew,Color,Documentary,English,USA,PG,John August,Jon Gunn,86,163,16,456,6.6,43,90,85222,1100,84122,2004,1
My Summer of Love,Color,Drama,English,UK,R,Paddy Considine,Pawel Pawlikowski,680,763,84,869,6.8,124,86,992238,1700000,-707762,2004,3
Napoleon Dynamite,Color,Comedy,English,USA,PG,Jon Heder,Jared Hess,970,3950,100,0,6.9,220,92,44540956,400000,44140956,2004,2
National Treasure,Color,Action,English,USA,PG,Nicolas Cage,Jon Turteltaub,12000,13679,226,0,6.9,193,131,173005002,100000000,73005002,2004,5
New York Minute,Color,Comedy,English,USA,PG,Mary-Kate Olsen,Dennie Gordon,976,3974,29,849,4.8,70,91,14018364,30000000,-15981636,2004,7
Night Watch,Color,Fantasy,Russian,Russia,R,Konstantin Khabenskiy,Timur Bekmambetov,114,206,335,0,6.5,232,104,1487477,4200000,-2712523,2004,4
November,Color,Drama,English,USA,R,Amir Talai,Greg Harrison,308,1008,7,98,5.5,43,78,191309,150000,41309,2004,4
Ocean's Twelve,Color,Crime,English,USA,PG-13,Brad Pitt,Steven Soderbergh,11000,19359,0,0,6.4,198,125,125531634,110000000,15531634,2004,6
Paparazzi,Color,Action,English,USA,PG-13,Cole Hauser,Paul Abascal,787,2915,2,269,5.8,77,84,15712072,20000000,-4287928,2004,12
Primer,Color,Drama,English,USA,PG-13,Shane Carruth,Shane Carruth,291,368,291,19000,7.0,143,77,424760,7000,417760,2004,2
Raise Your Voice,Color,Family,English,USA,PG,Oliver James,Sean McNamara,1000,4676,80,1000,5.9,46,103,10411980,15000000,-4588020,2004,4
Raising Helen,Color,Comedy,English,USA,PG-13,Amber Valletta,Garry Marshall,627,2052,0,718,6.0,93,119,37486138,50000000,-12513862,2004,2
Ray,Color,Biography,English,USA,PG-13,Bokeem Woodbine,Taylor Hackford,904,5074,138,0,7.7,209,178,75305995,40000000,35305995,2004,6
Resident Evil: Apocalypse,Color,Action,English,Germany,R,Milla Jovovich,Alexander Witt,14000,16791,38,0,6.2,191,98,50740078,45000000,5740078,2004,10
Saint Ralph,Color,Comedy,English,Canada,PG-13,Campbell Scott,Michael McGowan,393,955,12,989,7.6,47,98,795126,6000000,-5204874,2004,1
Saved!,Color,Comedy,English,USA,PG-13,Macaulay Culkin,Brian Dannelly,3000,5668,12,0,6.9,121,92,8786715,5000000,3786715,2004,3
Saw,Color,Horror,English,USA,R,Michael Emerson,James Wan,2000,5161,0,0,7.7,287,103,55153403,1200000,53953403,2004,5
Scooby-Doo 2: Monsters Unleashed,Color,Adventure,English,USA,PG,Sarah Michelle Gellar,Raja Gosnell,4000,7800,67,567,4.9,94,93,84185387,80000000,4185387,2004,7
Secret Window,Color,Mystery,English,USA,PG-13,Johnny Depp,David Koepp,40000,41293,192,0,6.6,195,96,47781388,40000000,7781388,2004,12
Seed of Chucky,Color,Comedy,English,Romania,R,Jason Flemyng,Don Mancini,1000,2567,64,0,4.9,148,88,17016190,12000000,5016190,2004,12
Shall We Dance,Color,Comedy,English,USA,PG-13,Lisa Ann Walter,Peter Chelsom,1000,2325,23,0,6.1,118,106,57887882,50000000,7887882,2004,4
Shark Tale,Color,Adventure,English,USA,PG,Robert De Niro,Bibo Bergeron,22000,63165,10,0,6.0,143,90,160762022,75000000,85762022,2004,7
Shaun of the Dead,Color,Comedy,English,UK,R,Peter Serafinowicz,Edgar Wright,605,1686,1000,19000,8.0,246,99,13464388,4000000,9464388,2004,4
Short Cut to Nirvana: Kumbh Mela,Color,Documentary,English,USA,Unrated,The Dalai Lama,Maurizio Benazzo,66,66,0,30,7.2,15,85,381225,200000,181225,2004,1
Shrek 2,Color,Adventure,English,USA,PG,Rupert Everett,Andrew Adamson,692,1148,80,0,7.2,205,93,436471036,150000000,286471036,2004,3
Sideways,Color,Adventure,English,USA,R,Virginia Madsen,Alexander Payne,912,2170,729,0,7.5,285,126,71502303,12000000,59502303,2004,11
Sky Captain and the World of Tomorrow,Color,Action,English,USA,PG,Angelina Jolie Pitt,Kerry Conran,11000,12871,14,0,6.1,197,106,37760080,70000000,-32239920,2004,12
Sleepover,Color,Comedy,English,USA,PG,Steve Carell,Joe Nussbaum,7000,13626,18,0,5.3,52,89,8070311,10000000,-1929689,2004,6
Soul Plane,Color,Comedy,English,USA,R,Mo'Nique,Jessy Terrero,939,3935,29,0,4.4,75,92,13922211,16000000,-2077789,2004,6
Spanglish,Color,Comedy,English,USA,PG-13,Adam Sandler,James L. Brooks,11000,12522,274,0,6.5,124,131,42044321,80000000,-37955679,2004,12
Spider-Man 2,Color,Action,English,USA,PG-13,J.K. Simmons,Sam Raimi,24000,43388,0,0,7.3,300,135,373377893,200000000,173377893,2004,6
Starsky & Hutch,Color,Comedy,English,USA,PG-13,Snoop Dogg,Todd Phillips,881,3943,480,0,6.1,173,101,88200225,60000000,28200225,2004,1
Steamboy,Color,Action,Japanese,Japan,PG-13,William Hootkins,Katsuhiro Ôtomo,488,991,78,973,6.9,105,103,410388,2127519898,-2127109510,2004,5
Summer Storm,Color,Comedy,German,Germany,R,Alicja Bachleda,Marco Kreuzpaintner,289,362,7,442,7.4,40,98,95016,2700000,-2604984,2004,7
Super Size Me,Color,Comedy,English,USA,PG,Chemeeka Walker,Morgan Spurlock,0,0,293,0,7.3,193,100,11529368,65000,11464368,2004,7
Superbabies: Baby Geniuses 2,Color,Comedy,English,Germany,PG,Scott Baio,Bob Clark,650,1343,84,0,1.9,32,88,9109322,20000000,-10890678,2004,1
Suspect Zero,Color,Crime,English,USA,R,Harry Lennix,E. Elias Merhige,748,1721,54,817,5.9,101,99,8712564,27000000,-18287436,2004,3
Tae Guk Gi: The Brotherhood of War,Color,Action,Korean,South Korea,R,Min-sik Choi,Je-kyu Kang,717,1730,16,0,8.1,86,148,1110186,12800000,-11689814,2004,2
Teacher's Pet,Color,Animation,English,USA,PG,Nathan Lane,Timothy Björklund,886,5139,0,49,5.8,33,74,6491350,10000000,-3508650,2004,4
Team America: World Police,Color,Action,English,USA,R,Jeremy Shada,Trey Parker,860,2609,406,0,7.2,233,98,32774834,30000000,2774834,2004,2
The Alamo,Color,Drama,English,USA,PG-13,Dennis Quaid,John Lee Hancock,2000,5780,102,701,6.0,106,137,22406362,107000000,-84593638,2004,12
The Aviator,Black and White,Biography,English,USA,PG-13,Leonardo DiCaprio,Martin Scorsese,29000,34582,17000,0,7.5,267,170,102608827,110000000,-7391173,2004,8
The Big Bounce,Color,Comedy,English,USA,PG-13,Morgan Freeman,George Armitage,11000,11972,5,288,4.9,75,88,6471394,50000000,-43528606,2004,9
The Bourne Supremacy,Color,Action,English,USA,PG-13,Matt Damon,Paul Greengrass,13000,14161,521,0,7.8,239,108,176049130,75000000,101049130,2004,4
The Bridge of San Luis Rey,Color,Drama,English,UK,PG,Robert De Niro,Mary McGuckian,22000,23769,6,181,5.1,16,120,42880,24000000,-23957120,2004,9
The Butterfly Effect,Color,Sci-Fi,English,USA,R,Logan Lerman,Eric Bress,8000,12755,19,15000,7.7,185,120,23947,13000000,-12976053,2004,12
The Chorus,Color,Drama,French,France,PG-13,Jean-Baptiste Maunier,Christophe Barratier,517,745,25,0,7.9,112,97,3629758,5500000,-1870242,2004,4
The Chronicles of Riddick,Color,Action,English,USA,PG-13,Vin Diesel,David Twohy,14000,17159,123,0,6.7,207,134,57637485,105000000,-47362515,2004,6
The Day After Tomorrow,Color,Action,English,USA,PG-13,Jake Gyllenhaal,Roland Emmerich,15000,20553,776,19000,6.4,239,124,186739919,125000000,61739919,2004,1
The Girl Next Door,Color,Comedy,English,USA,R,Chris Marquette,Luke Greenfield,355,911,42,0,6.8,126,110,14589444,25000000,-10410556,2004,10
The Grudge,Color,Horror,English,USA,PG-13,Sarah Michelle Gellar,Takashi Shimizu,4000,7461,70,4000,5.9,203,98,110175871,10000000,100175871,2004,6
The Holy Girl,Color,Drama,Spanish,Argentina,R,Mía Maestro,Lucrecia Martel,341,358,33,57,6.7,78,106,304124,1400000,-1095876,2004,12
The Incredibles,Color,Action,English,USA,PG,Holly Hunter,Brad Bird,1000,1901,663,0,8.0,283,115,261437578,92000000,169437578,2004,7
The Ladykillers,Color,Comedy,English,USA,R,J.K. Simmons,Ethan Coen,24000,41701,1000,0,6.2,193,104,39692139,35000000,4692139,2004,4
The Life Aquatic with Steve Zissou,Color,Adventure,English,USA,R,Bill Murray,Wes Anderson,13000,15757,0,0,7.3,259,119,24006726,50000000,-25993274,2004,11
The Machinist,Color,Drama,English,Spain,R,Christian Bale,Brad Anderson,23000,24994,122,21000,7.7,204,94,1082044,5000000,-3917956,2004,4
The Manchurian Candidate,Color,Drama,English,USA,R,Denzel Washington,Jonathan Demme,18000,20056,438,0,6.6,209,129,65948711,80000000,-14051289,2004,4
The Merchant of Venice,Color,Drama,English,USA,R,Al Pacino,Michael Radford,14000,16252,53,0,7.1,117,131,3752725,18000000,-14247275,2004,3
The Notebook,Color,Drama,English,USA,PG-13,Ryan Gosling,Nick Cassavetes,33000,34495,415,57000,7.9,177,123,64286,29000000,-28935714,2004,9
The Passion of the Christ,Color,Drama,Aramaic,USA,R,Christo Jivkov,Mel Gibson,260,705,0,13000,7.1,406,120,499263,30000000,-29500737,2004,12
The Phantom of the Opera,Black and White,Drama,English,UK,PG-13,Gerard Butler,Joel Schumacher,18000,20660,541,0,7.4,153,143,51225796,70000000,-18774204,2004,12
The Polar Express,Color,Adventure,English,USA,G,Tom Hanks,Robert Zemeckis,15000,16264,0,10000,6.6,188,100,665426,165000000,-164334574,2004,3
The Princess Diaries 2: Royal Engagement,Color,Comedy,English,USA,G,Anne Hathaway,Garry Marshall,11000,15362,0,1000,5.7,77,113,95149435,40000000,55149435,2004,8
The Punisher,Color,Action,English,USA,R,Laura Harring,Jonathan Hensleigh,669,2114,36,4000,6.5,192,140,33682273,33000000,682273,2004,9
The Sea Inside,Color,Biography,Spanish,Spain,PG-13,Belén Rueda,Alejandro Amenábar,273,529,448,0,8.1,157,125,2086345,10000000,-7913655,2004,12
The SpongeBob SquarePants Movie,Color,Adventure,English,USA,PG,Scarlett Johansson,Stephen Hillenburg,19000,20097,47,0,7.0,89,87,85416609,30000000,55416609,2004,7
The Stepford Wives,Color,Comedy,English,USA,PG-13,Jon Lovitz,Frank Oz,11000,13748,0,0,5.2,169,93,59475623,90000000,-30524377,2004,3
The Terminal,Color,Comedy,English,USA,PG-13,Tom Hanks,Steven Spielberg,15000,16199,14000,16000,7.3,151,128,77032279,60000000,17032279,2004,5
The Village,Color,Drama,English,USA,PG-13,Bryce Dallas Howard,M. Night Shyamalan,3000,7273,0,0,6.5,261,108,114195633,60000000,54195633,2004,11
The Whole Ten Yards,Color,Comedy,English,USA,PG-13,Bruce Willis,Howard Deutch,13000,18085,41,462,5.5,74,98,16323969,40000000,-23676031,2004,8
The Work and the Glory,Color,Drama,English,USA,PG,Eric Johnson,Russell Holt,373,1233,0,31,6.9,6,118,3347439,7500000,-4152561,2004,5
Thunderbirds,Color,Action,English,UK,PG,Sophia Myles,Jonathan Frakes,956,2260,906,437,4.2,76,95,6768055,57000000,-50231945,2004,6
Torque,Color,Action,English,USA,PG-13,Dane Cook,Joseph Kahn,1000,5039,33,0,4.0,86,84,21176322,40000000,-18823678,2004,2
Troy,Color,Adventure,English,USA,R,Brad Pitt,Wolfgang Petersen,11000,17944,249,0,7.2,220,196,133228348,175000000,-41771652,2004,11
Two Brothers,Color,Adventure,English,France,PG,David Gant,Jean-Jacques Annaud,21,55,218,2000,7.1,88,109,18947630,59660000,-40712370,2004,1
Vanity Fair,Color,Drama,English,USA,PG-13,Romola Garai,Mira Nair,805,1618,300,767,6.2,118,141,16123851,23000000,-6876149,2004,8
Veer-Zaara,Color,Drama,Hindi,India,Not Rated,Shah Rukh Khan,Yash Chopra,8000,9984,147,2000,7.9,29,192,2921738,7000000,-4078262,2004,7
Vera Drake,Color,Crime,English,UK,R,Eddie Marsan,Mike Leigh,979,3133,608,0,7.7,169,125,3753806,11000000,-7246194,2004,6
Walking Tall,Color,Action,English,USA,PG-13,Dwayne Johnson,Kevin Bray,12000,14146,10,0,6.2,117,86,45860039,56000000,-10139961,2004,8
Welcome to Mooseport,Color,Comedy,English,USA,PG-13,Rip Torn,Donald Petrie,826,2466,80,260,5.2,82,110,14469428,26000000,-11530572,2004,8
White Chicks,Color,Comedy,English,USA,PG-13,Busy Philipps,Keenen Ivory Wayans,1000,6313,322,0,5.4,62,109,69148997,37000000,32148997,2004,9
Wicker Park,Color,Drama,English,USA,PG-13,Jessica Paré,Paul McGuigan,489,679,118,0,7.0,98,114,12831121,30000000,-17168879,2004,6
Wimbledon,Color,Comedy,English,UK,PG-13,Kirsten Dunst,Richard Loncraine,4000,9330,12,0,6.3,129,98,16831505,31000000,-14168495,2004,3
Win a Date with Tad Hamilton!,Color,Comedy,English,USA,PG-13,Topher Grace,Robert Luketic,2000,4681,126,876,5.6,84,95,16964743,24000000,-7035257,2004,7
Without a Paddle,Color,Adventure,English,USA,PG-13,Antony Starr,Steven Brill,506,1266,65,0,5.9,94,95,58156435,19000000,39156435,2004,9
Yes,Color,Drama,English,UK,R,Shirley Henderson,Sally Potter,887,2721,87,305,6.9,76,100,396035,1000000,-603965,2004,3
You Got Served,Color,Drama,English,USA,PG-13,Jennifer Freeman,Chris Stokes,389,1792,548,0,3.5,58,95,40066497,8000000,32066497,2004,3
A History of Violence,Color,Crime,English,USA,R,Viggo Mortensen,David Cronenberg,10000,12754,0,0,7.5,441,96,31493782,32000000,-506218,2005,11
A Lot Like Love,Color,Comedy,English,USA,PG-13,Aimee Garcia,Nigel Cole,618,1095,13,0,6.6,112,107,21835784,30000000,-8164216,2005,8
A Sound of Thunder,Color,Action,English,UK,PG-13,David Oyelowo,Peter Hyams,1000,1890,0,785,4.2,113,102,1891821,52000000,-50108179,2005,2
Æon Flux,Color,Action,English,USA,PG-13,Charlize Theron,Karyn Kusama,9000,10185,45,0,5.5,178,93,25857987,62000000,-36142013,2005,9
Alone in the Dark,Color,Horror,English,Canada,R,Catherine Lough Haggquist,Uwe Boll,310,838,892,1000,2.3,148,94,5132655,20000000,-14867345,2005,4
An American Haunting,Color,Horror,English,UK,PG-13,Sissy Spacek,Courtney Solomon,874,1608,31,0,5.0,125,91,16298046,14000000,2298046,2005,11
An Unfinished Life,Color,Drama,English,USA,PG-13,Morgan Freeman,Lasse Hallström,11000,11519,529,0,7.0,107,108,8535575,30000000,-21464425,2005,3
Are We There Yet?,Color,Adventure,English,USA,PG,Nia Long,Brian Levant,826,3558,32,773,4.6,75,95,82301521,32000000,50301521,2005,7
Assault on Precinct 13,Color,Action,English,USA,R,Brian Dennehy,Jean-François Richet,954,3148,25,999,6.3,152,109,19976073,20000000,-23927,2005,2
Batman Begins,Color,Action,English,USA,PG-13,Christian Bale,Christopher Nolan,23000,59558,22000,15000,8.3,478,128,205343774,150000000,55343774,2005,12
Be Cool,Color,Comedy,English,USA,PG-13,Dwayne Johnson,F. Gary Gray,12000,15889,473,0,5.7,161,118,55808744,53000000,2808744,2005,12
Because of Winn-Dixie,Color,Comedy,English,USA,PG,Cicely Tyson,Wayne Wang,907,3462,61,1000,6.4,96,106,32645546,14000000,18645546,2005,9
BloodRayne,Color,Action,English,USA,R,Meat Loaf,Uwe Boll,783,2930,892,937,2.9,143,92,1550000,25000000,-23450000,2005,8
Boogeyman,Color,Drama,English,USA,PG-13,Barry Watson,Stephen Kay,526,1383,19,1000,4.1,140,89,46363118,20000000,26363118,2005,9
Boynton Beach Club,Color,Comedy,English,USA,R,Dyan Cannon,Susan Seidelman,267,1231,39,88,6.5,35,105,3123749,1500000,1623749,2005,4
Brokeback Mountain,Color,Drama,English,USA,R,Jake Gyllenhaal,Ang Lee,15000,39789,0,13000,7.7,357,134,83025853,14000000,69025853,2005,3
Capote,Color,Biography,English,Canada,R,Philip Seymour Hoffman,Bennett Miller,22000,22140,152,0,7.4,271,110,28747570,7000000,21747570,2005,5
Cavite,Color,Thriller,English,Philippines,Not Rated,Ian Gamazon,Neill Dela Llana,0,0,0,74,6.3,35,80,70071,7000,63071,2005,7
Charlie and the Chocolate Factory,Color,Adventure,English,USA,PG,Johnny Depp,Tim Burton,40000,57844,13000,0,6.7,276,115,206456431,150000000,56456431,2005,12
Cheaper by the Dozen 2,Color,Adventure,English,USA,PG,Taylor Lautner,Adam Shankman,12000,20348,163,781,5.4,77,94,82569532,60000000,22569532,2005,7
Chicken Little,Color,Adventure,English,USA,G,Catherine O'Hara,Mark Dindal,925,2252,10,912,5.8,161,81,135381507,150000000,-14618493,2005,10
